City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,New Norfolk,AU,2022-01-25 15:08:38,-42.7826,147.0587,61.66,69,91,1.63
145,Upernavik,GL,2022-01-25 15:08:39,72.7868,-56.1549,6.66,95,100,10.25
146,Rio Grande,BR,2022-01-25 15:08:39,-32.035,-52.0986,89.71,68,51,7.65
147,Torbay,CA,2022-01-25 15:08:39,47.6666,-52.7314,33.58,92,100,13.8
148,Plymouth,US,2022-01-25 15:06:08,41.8334,-70.8328,40.82,92,100,6.91
149,Nova Olinda Do Norte,BR,2022-01-25 15:08:40,-3.8881,-59.0942,83.39,77,88,5.21
150,Pisco,PE,2022-01-25 15:08:40,-13.7,-76.2167,73.45,68,0,8.05
151,Chokurdakh,RU,2022-01-25 15:08:41,70.6333,147.9167,-26.77,100,100,6.69
152,Maceio,BR,2022-01-25 15:08:41,-9.6658,-35.7353,90.84,51,75,11.5
153,Tianpeng,CN,2022-01-25 15:05:11,30.9866,103.9393,42.4,87,91,4.18
154,Madimba,TZ,2022-01-25 15:08:41,-10.4,40.3333,81.63,76,61,14.05
155,Vestmannaeyjar,IS,2022-01-25 15:08:42,63.4427,-20.2734,36.59,80,40,51.79
156,Oudtshoorn,ZA,2022-01-25 15:08:42,-33.5907,22.2014,73.94,67,41,12.48
157,Sangmelima,CM,2022-01-25 15:08:42,2.9333,11.9833,94.26,19,80,3.22
158,San Patricio,US,2022-01-25 15:08:43,28.017,-97.5169,50.09,78,0,7.81
159,Zinder,NE,2022-01-25 15:08:43,13.8072,8.9881,79.92,9,0,13.38
160,North Bend,US,2022-01-25 15:08:43,43.4065,-124.2243,40.86,93,0,4.61
161,Rocha,UY,2022-01-25 15:08:43,-34.4833,-54.3333,84.04,69,100,5.79
162,Auchel,FR,2022-01-25 15:08:44,50.5034,2.4735,36.9,72,0,1.72
163,Asau,RO,2022-01-25 15:08:44,46.4333,26.4,29.39,64,96,5.66
164,Vaini,TO,2022-01-25 15:08:44,-21.2,-175.2,78.96,89,40,6.91
165,Alugan,PH,2022-01-25 15:08:45,12.2188,125.4808,77.85,88,100,13.33
166,Ambon,ID,2022-01-25 15:08:45,-3.6954,128.1814,82.65,77,85,2.8
